1,2,4,7,15
19-07-30,00:00:15,24,45,0
19-07-30,00:00:30,24,45,0
19-07-30,00:00:45,24,45,0
19-07-30,00:01:00,24,45,0
19-07-30,00:01:15,24,45,0
19-07-30,00:01:30,24,45,0
19-07-30,00:01:45,24,45,0
19-07-30,00:02:00,24,45,0
19-07-30,00:02:15,24,45,0
19-07-30,00:02:30,24,45,0
19-07-30,00:02:45,24,45,0
19-07-30,00:03:00,24,45,0
19-07-30,00:03:15,24,45,0
19-07-30,00:03:30,24,45,0
19-07-30,00:03:45,24,45,0
19-07-30,00:04:00,24,45,0
19-07-30,00:04:15,24,45,0
19-07-30,00:04:30,24,45,0
19-07-30,00:04:45,24,45,0
19-07-30,00:05:00,24,45,0
19-07-30,00:05:15,24,45,0
19-07-30,00:05:30,24,45,0
19-07-30,00:05:45,24,45,0
19-07-30,00:06:00,24,45,0
19-07-30,00:06:15,24,45,0
19-07-30,00:06:30,24,45,0
19-07-30,00:06:45,24,45,0
19-07-30,00:07:00,24,44,0
19-07-30,00:07:15,24,44,0
19-07-30,00:07:30,24,44,0
19-07-30,00:07:45,24,44,0
19-07-30,00:08:00,24,44,0
19-07-30,00:08:15,24,44,0
19-07-30,00:08:30,24,44,0
19-07-30,00:08:45,24,44,0
19-07-30,00:09:00,24,44,0
19-07-30,00:09:15,24,44,0
19-07-30,00:09:30,24,44,0
19-07-30,00:09:45,24,44,0
19-07-30,00:10:00,24,44,0
19-07-30,00:10:15,24,44,0
19-07-30,00:10:30,24,44,0
19-07-30,00:10:45,24,44,0
19-07-30,00:11:00,24,44,0
19-07-30,00:11:15,24,44,0
19-07-30,00:11:30,24,44,0
19-07-30,00:12:00,24,44,0
19-07-30,00:12:15,24,44,0
19-07-30,00:12:30,24,44,0
19-07-30,00:12:45,24,44,0
19-07-30,00:13:00,24,43,0
19-07-30,00:13:15,24,44,0
19-07-30,00:13:30,24,44,0
19-07-30,00:13:45,24,44,0
19-07-30,00:14:00,24,44,0
19-07-30,00:14:15,24,44,0
19-07-30,00:14:30,24,44,0
19-07-30,00:14:45,24,44,0
19-07-30,00:15:00,24,44,0
19-07-30,00:15:15,24,44,0
19-07-30,00:15:30,24,45,0
19-07-30,00:15:45,24,45,0
19-07-30,00:16:00,24,45,0
19-07-30,00:16:15,24,45,0
19-07-30,00:16:30,24,45,0
19-07-30,00:16:45,24,46,0
19-07-30,00:17:00,24,46,0
19-07-30,00:17:15,24,46,0
19-07-30,00:17:30,24,46,0
19-07-30,00:17:45,24,46,0
19-07-30,00:18:00,24,47,1
19-07-30,00:18:15,24,47,1
19-07-30,00:18:30,24,48,1
19-07-30,00:18:45,24,47,1
19-07-30,00:19:00,24,48,1
19-07-30,00:19:15,24,48,1
19-07-30,00:19:30,24,48,1
19-07-30,00:19:45,24,49,1
19-07-30,00:20:00,24,48,1
19-07-30,00:20:15,24,48,1
19-07-30,00:20:30,24,48,1
19-07-30,00:20:45,24,48,1
19-07-30,00:21:00,24,48,1
19-07-30,00:21:15,24,47,0
19-07-30,00:21:30,24,47,1
19-07-30,00:21:45,24,47,0
19-07-30,00:22:00,24,47,1
19-07-30,00:22:15,24,47,0
19-07-30,00:22:30,24,47,0
19-07-30,00:22:45,24,47,0
19-07-30,00:23:00,24,47,0
19-07-30,00:23:15,24,47,0
19-07-30,00:23:30,24,47,0
19-07-30,00:23:45,24,48,0
19-07-30,00:24:00,24,48,0
19-07-30,00:24:15,24,48,0
19-07-30,00:24:30,24,49,0
19-07-30,00:24:45,24,49,0
19-07-30,00:25:00,24,49,1
19-07-30,00:25:15,24,49,1
19-07-30,00:25:30,24,50,0
19-07-30,00:25:45,23,50,1
19-07-30,00:26:00,23,50,1
19-07-30,00:26:15,23,50,1
19-07-30,00:26:30,23,50,1
19-07-30,00:26:45,23,51,1
19-07-30,00:27:00,23,51,1
19-07-30,00:27:15,23,51,1
19-07-30,00:27:30,23,51,1
19-07-30,00:27:45,23,51,1
19-07-30,00:28:00,23,51,1
19-07-30,00:28:15,23,51,1
19-07-30,00:28:30,23,51,1
19-07-30,00:28:45,23,51,1
19-07-30,00:29:00,23,52,1
19-07-30,00:29:15,23,52,1
19-07-30,00:29:30,23,52,1
19-07-30,00:29:45,23,52,1
19-07-30,00:30:00,23,52,1
19-07-30,00:30:15,23,52,1
19-07-30,00:30:30,23,52,1
19-07-30,00:30:45,23,52,1
19-07-30,00:31:00,23,52,1
19-07-30,00:31:15,23,52,1
19-07-30,00:31:30,23,52,1
19-07-30,00:31:45,23,52,1
19-07-30,00:32:00,23,52,1
19-07-30,00:32:15,23,52,1
19-07-30,00:32:30,23,52,1
19-07-30,00:32:45,23,52,1
19-07-30,00:33:00,23,52,1
19-07-30,00:33:15,23,52,1
19-07-30,00:33:30,23,52,1
19-07-30,00:33:45,23,52,1
19-07-30,00:34:00,23,52,1
19-07-30,00:34:15,23,52,1
19-07-30,00:34:30,23,52,1
19-07-30,00:34:45,23,52,1
19-07-30,00:35:00,23,52,1
19-07-30,00:35:15,23,52,1
19-07-30,00:35:30,23,52,1
19-07-30,00:35:45,23,52,1
19-07-30,00:36:00,23,52,1
19-07-30,00:36:15,23,52,0
19-07-30,00:36:30,23,52,1
19-07-30,00:36:45,23,52,1
19-07-30,00:37:00,23,52,1
19-07-30,00:37:15,23,52,1
19-07-30,00:37:30,23,52,1
19-07-30,00:37:45,23,52,1
19-07-30,00:38:00,23,52,0
19-07-30,00:38:15,23,52,1
19-07-30,00:38:30,23,52,1
19-07-30,00:38:45,23,52,1
19-07-30,00:39:00,23,52,0
19-07-30,00:39:15,23,52,1
19-07-30,00:39:30,23,52,1
19-07-30,00:39:45,23,53,1
19-07-30,00:40:00,23,53,0
19-07-30,00:40:15,23,53,0
19-07-30,00:40:30,23,53,0
19-07-30,00:40:45,23,53,0
19-07-30,00:41:15,23,53,1
19-07-30,00:41:30,23,53,0
19-07-30,00:41:45,23,53,0
19-07-30,00:42:00,23,53,1
19-07-30,00:42:15,23,53,0
19-07-30,00:42:30,23,53,0
19-07-30,00:42:45,23,52,1
19-07-30,00:43:00,23,52,0
19-07-30,00:43:15,23,52,0
19-07-30,00:43:30,23,52,1
19-07-30,00:43:45,23,52,0
19-07-30,00:44:00,23,52,0
19-07-30,00:44:15,23,52,0
19-07-30,00:44:30,23,52,0
19-07-30,00:44:45,23,52,0
19-07-30,00:45:00,23,52,0
19-07-30,00:45:15,23,52,0
19-07-30,00:45:30,23,52,0
19-07-30,00:45:45,23,52,0
19-07-30,00:46:00,23,52,0
19-07-30,00:46:15,23,52,0
19-07-30,00:46:30,23,52,0
19-07-30,00:46:45,23,52,0
19-07-30,00:47:00,23,52,0
19-07-30,00:47:15,23,52,0
19-07-30,00:47:30,23,52,0
19-07-30,00:47:45,23,52,0
19-07-30,00:48:00,23,52,0
19-07-30,00:48:15,23,52,0
19-07-30,00:48:30,23,52,0
19-07-30,00:48:45,23,52,0
19-07-30,00:49:00,23,52,0
19-07-30,00:49:15,23,52,0
19-07-30,00:49:30,23,52,0
19-07-30,00:49:45,23,52,0
19-07-30,00:50:00,23,52,0
19-07-30,00:50:15,23,52,0
19-07-30,00:50:30,23,52,0
19-07-30,00:50:45,23,52,0
19-07-30,00:51:00,23,52,0
19-07-30,00:51:15,23,53,0
19-07-30,00:51:30,23,53,0
19-07-30,00:51:45,23,53,0
19-07-30,00:52:00,23,53,0
19-07-30,00:52:15,23,53,0
19-07-30,00:52:30,23,53,0
19-07-30,00:52:45,23,53,0
19-07-30,00:53:00,22,53,0
19-07-30,00:53:15,22,53,1
19-07-30,00:53:30,22,53,1
19-07-30,00:53:45,22,54,0
19-07-30,00:54:00,22,54,1
19-07-30,00:54:15,22,54,0
19-07-30,00:54:30,22,54,1
