1,2,4,7,15
19-10-17,00:00:15,12,71,0
19-10-17,00:00:30,12,70,0
19-10-17,00:00:45,12,70,0
19-10-17,00:01:00,12,71,0
19-10-17,00:01:15,12,71,0
19-10-17,00:01:30,12,71,0
19-10-17,00:01:45,12,71,0
19-10-17,00:02:00,12,71,0
19-10-17,00:02:15,12,71,0
19-10-17,00:02:30,12,71,0
19-10-17,00:02:45,12,71,0
19-10-17,00:03:00,12,71,0
19-10-17,00:03:15,12,71,0
19-10-17,00:03:30,12,71,0
19-10-17,00:03:45,12,71,0
19-10-17,00:04:00,12,71,0
19-10-17,00:04:15,12,71,0
19-10-17,00:04:30,12,71,0
19-10-17,00:04:45,12,71,0
19-10-17,00:05:00,12,72,0
19-10-17,00:05:15,12,72,0
19-10-17,00:05:30,12,72,0
19-10-17,00:05:45,12,71,0
19-10-17,00:06:00,12,71,0
19-10-17,00:06:15,12,71,0
19-10-17,00:06:30,12,71,0
19-10-17,00:06:45,12,71,0
19-10-17,00:07:00,12,71,0
19-10-17,00:07:15,12,71,0
19-10-17,00:07:30,12,71,0
19-10-17,00:07:45,12,70,0
19-10-17,00:08:00,12,70,0
19-10-17,00:08:15,12,70,0
19-10-17,00:08:30,12,70,0
19-10-17,00:08:45,12,70,0
19-10-17,00:09:00,12,70,0
19-10-17,00:09:15,12,70,0
19-10-17,00:09:30,12,71,0
19-10-17,00:09:45,12,71,0
19-10-17,00:10:00,12,71,0
19-10-17,00:10:15,12,71,0
19-10-17,00:10:30,12,71,0
19-10-17,00:10:45,12,72,0
19-10-17,00:11:00,12,72,0
19-10-17,00:11:15,12,72,0
19-10-17,00:11:30,12,71,0
19-10-17,00:11:45,12,71,0
19-10-17,00:12:00,12,71,0
19-10-17,00:12:15,12,71,0
19-10-17,00:12:30,12,70,0
19-10-17,00:12:45,12,70,0
19-10-17,00:13:00,12,70,0
19-10-17,00:13:15,12,70,0
19-10-17,00:13:30,12,70,0
19-10-17,00:13:45,12,70,0
19-10-17,00:14:00,12,69,0
19-10-17,00:14:15,12,69,0
19-10-17,00:14:30,12,68,0
19-10-17,00:14:45,12,68,0
19-10-17,00:15:00,12,68,0
19-10-17,00:15:15,12,68,0
19-10-17,00:15:30,12,68,0
19-10-17,00:15:45,12,67,0
19-10-17,00:16:00,12,67,0
19-10-17,00:16:15,12,67,0
19-10-17,00:16:30,12,66,0
19-10-17,00:16:45,12,66,0
19-10-17,00:17:00,12,66,0
19-10-17,00:17:15,12,66,0
19-10-17,00:17:30,12,66,0
19-10-17,00:17:45,12,65,0
19-10-17,00:18:00,12,65,0
19-10-17,00:18:15,12,65,0
19-10-17,00:18:30,12,65,0
19-10-17,00:18:45,12,65,0
19-10-17,00:19:00,12,65,0
19-10-17,00:19:15,12,65,0
19-10-17,00:19:30,12,65,0
19-10-17,00:19:45,12,65,0
19-10-17,00:20:00,12,65,0
19-10-17,00:20:15,12,65,0
19-10-17,00:20:30,12,65,0
19-10-17,00:20:45,12,65,0
19-10-17,00:21:00,12,65,0
