1,2,4,7,15
19-12-17,00:00:15,7,94,0
19-12-17,00:00:30,7,93,0
19-12-17,00:00:45,7,93,0
19-12-17,00:01:00,7,93,0
19-12-17,00:01:15,7,92,0
19-12-17,00:01:30,7,92,0
19-12-17,00:01:45,7,91,0
19-12-17,00:02:00,7,91,0
19-12-17,00:02:15,7,91,0
19-12-17,00:02:30,7,90,0
19-12-17,00:02:45,7,90,0
19-12-17,00:03:00,7,90,0
19-12-17,00:03:15,7,89,0
19-12-17,00:03:30,7,89,0
19-12-17,00:03:45,7,89,0
19-12-17,00:04:00,7,88,0
19-12-17,00:04:15,7,88,0
19-12-17,00:04:30,7,88,0
19-12-17,00:04:45,7,88,0
19-12-17,00:05:15,7,89,0
19-12-17,00:05:30,7,89,0
19-12-17,00:05:45,7,89,0
19-12-17,00:06:00,7,89,0
19-12-17,00:06:15,7,89,0
19-12-17,00:06:30,7,89,0
19-12-17,00:06:45,7,89,0
19-12-17,00:07:00,7,89,0
19-12-17,00:07:15,7,89,0
19-12-17,00:07:30,7,88,0
19-12-17,00:07:45,7,88,0
19-12-17,00:08:00,7,88,0
19-12-17,00:08:15,7,88,0
19-12-17,00:08:30,7,88,0
19-12-17,00:08:45,7,87,0
19-12-17,00:09:00,7,87,0
19-12-17,00:09:15,7,87,0
19-12-17,00:09:30,7,87,0
19-12-17,00:09:45,7,87,0
19-12-17,00:10:00,7,87,0
19-12-17,00:10:15,7,87,0
19-12-17,00:10:30,7,87,0
19-12-17,00:10:45,7,87,0
19-12-17,00:11:00,7,87,0
19-12-17,00:11:15,7,87,0
19-12-17,00:11:30,7,88,0
19-12-17,00:11:45,7,88,0
19-12-17,00:12:00,7,88,0
19-12-17,00:12:15,7,88,0
19-12-17,00:12:30,7,88,0
19-12-17,00:12:45,7,88,0
19-12-17,00:13:00,7,88,0
19-12-17,00:13:15,7,88,0
19-12-17,00:13:30,7,88,0
19-12-17,00:13:45,7,88,0
19-12-17,00:14:00,7,88,0
19-12-17,00:14:15,7,88,0
19-12-17,00:14:30,7,88,0
19-12-17,00:14:45,7,88,0
19-12-17,00:15:00,7,88,0
19-12-17,00:15:15,7,88,0
19-12-17,00:15:30,7,88,0
19-12-17,00:15:45,7,88,0
19-12-17,00:16:00,7,88,0
19-12-17,00:16:15,7,88,0
19-12-17,00:16:30,7,87,0
19-12-17,00:16:45,7,87,0
19-12-17,00:17:00,7,87,0
19-12-17,00:17:15,7,87,0
19-12-17,00:17:30,7,87,0
19-12-17,00:17:45,7,88,0
19-12-17,00:18:00,7,87,0
19-12-17,00:18:15,7,87,0
19-12-17,00:18:30,7,87,0
19-12-17,00:18:45,7,87,0
19-12-17,00:19:00,7,87,0
19-12-17,00:19:15,7,87,0
19-12-17,00:19:30,7,87,0
19-12-17,00:19:45,7,87,0
19-12-17,00:20:00,7,87,0
19-12-17,00:20:15,7,87,0
19-12-17,00:20:30,7,87,0
19-12-17,00:20:45,7,87,0
19-12-17,00:21:00,7,87,0
19-12-17,00:21:15,7,87,0
19-12-17,00:21:30,7,87,0
19-12-17,00:21:45,7,87,0
19-12-17,00:22:00,7,87,0
19-12-17,00:22:15,7,87,0
19-12-17,00:22:30,7,87,0
19-12-17,00:22:45,7,87,0
19-12-17,00:23:00,7,87,0
19-12-17,00:23:15,7,87,0
19-12-17,00:23:30,7,88,0
19-12-17,00:23:45,7,88,0
19-12-17,00:24:00,7,88,0
19-12-17,00:24:15,7,88,0
19-12-17,00:24:30,7,88,0
19-12-17,00:24:45,7,88,0
19-12-17,00:25:00,7,88,0
19-12-17,00:25:15,7,88,0
19-12-17,00:25:30,7,89,0
19-12-17,00:25:45,7,89,0
19-12-17,00:26:00,7,89,0
19-12-17,00:26:15,7,89,0
19-12-17,00:26:30,7,89,0
19-12-17,00:26:45,7,89,0
19-12-17,00:27:00,7,89,0
19-12-17,00:27:15,7,89,0
19-12-17,00:27:30,7,89,0
19-12-17,00:27:45,7,89,0
19-12-17,00:28:00,7,89,0
19-12-17,00:28:15,7,89,0
19-12-17,00:28:30,7,89,0
19-12-17,00:28:45,7,89,0
19-12-17,00:29:00,7,89,0
19-12-17,00:29:15,7,89,0
19-12-17,00:29:30,7,89,0
19-12-17,00:29:45,7,89,0
19-12-17,00:30:00,7,88,0
19-12-17,00:30:15,7,88,0
19-12-17,00:30:30,7,88,0
19-12-17,00:30:45,7,88,0
19-12-17,00:31:00,7,88,0
19-12-17,00:31:15,7,88,0
19-12-17,00:31:30,7,88,0
19-12-17,00:31:45,7,88,0
19-12-17,00:32:00,7,88,0
19-12-17,00:32:15,7,88,0
19-12-17,00:32:30,7,88,0
19-12-17,00:32:45,7,88,0
19-12-17,00:33:00,7,88,0
19-12-17,00:33:15,7,88,0
19-12-17,00:33:30,7,88,0
19-12-17,00:33:45,7,88,0
19-12-17,00:34:00,7,88,0
19-12-17,00:34:15,7,88,0
19-12-17,00:34:30,7,88,0
19-12-17,00:34:45,7,88,0
19-12-17,00:35:00,7,88,0
19-12-17,00:35:15,7,88,0
19-12-17,00:35:30,7,88,0
19-12-17,00:35:45,7,87,0
19-12-17,00:36:00,7,87,0
19-12-17,00:36:15,7,87,0
19-12-17,00:36:30,7,86,0
19-12-17,00:36:45,7,86,0
19-12-17,00:37:00,7,86,0
19-12-17,00:37:15,7,85,0
19-12-17,00:37:30,7,85,0
19-12-17,00:37:45,7,85,0
19-12-17,00:38:00,8,85,0
19-12-17,00:38:15,8,85,0
19-12-17,00:38:30,8,85,0
19-12-17,00:38:45,8,85,0
19-12-17,00:39:00,8,85,0
19-12-17,00:39:15,8,85,0
19-12-17,00:39:30,8,85,0
19-12-17,00:39:45,8,85,0
19-12-17,00:40:00,8,85,0
19-12-17,00:40:15,8,85,0
19-12-17,00:40:30,8,85,0
19-12-17,00:40:45,7,85,0
19-12-17,00:41:00,7,85,0
19-12-17,00:41:15,7,85,0
19-12-17,00:41:30,7,86,0
19-12-17,00:41:45,7,86,0
19-12-17,00:42:00,7,86,0
19-12-17,00:42:15,7,86,0
19-12-17,00:42:30,7,86,0
19-12-17,00:42:45,7,86,0
19-12-17,00:43:00,7,86,0
19-12-17,00:43:15,7,87,0
19-12-17,00:43:30,7,87,0
19-12-17,00:43:45,7,87,0
19-12-17,00:44:00,7,87,0
19-12-17,00:44:15,7,87,0
19-12-17,00:44:30,7,87,0
19-12-17,00:44:45,7,87,0
19-12-17,00:45:00,7,87,0
19-12-17,00:45:15,7,87,0
19-12-17,00:45:30,7,87,0
19-12-17,00:45:45,7,87,0
19-12-17,00:46:00,7,87,0
19-12-17,00:46:15,7,87,0
19-12-17,00:46:30,7,87,0
19-12-17,00:46:45,7,88,0
19-12-17,00:47:00,7,88,0
19-12-17,00:47:15,7,88,0
19-12-17,00:47:30,7,88,0
19-12-17,00:47:45,7,88,0
19-12-17,00:48:00,7,88,0
19-12-17,00:48:15,7,88,0
19-12-17,00:48:30,7,88,0
19-12-17,00:48:45,7,87,0
19-12-17,00:49:00,7,87,0
19-12-17,00:49:15,7,87,0
19-12-17,00:49:30,7,87,0
19-12-17,00:49:45,7,87,0
19-12-17,00:50:00,7,87,0
19-12-17,00:50:15,7,86,0
19-12-17,00:50:30,7,86,0
19-12-17,00:50:45,8,86,0
19-12-17,00:51:00,8,86,0
19-12-17,00:51:15,8,86,0
19-12-17,00:51:30,8,86,0
19-12-17,00:51:45,8,86,0
19-12-17,00:52:00,8,86,0
19-12-17,00:52:15,8,87,0
19-12-17,00:52:30,8,86,0
19-12-17,00:52:45,8,86,0
19-12-17,00:53:00,8,86,0
19-12-17,00:53:15,8,86,0
19-12-17,00:53:30,8,85,0
19-12-17,00:53:45,8,85,0
19-12-17,00:54:00,8,85,0
19-12-17,00:54:15,8,85,0
19-12-17,00:54:30,8,85,0
19-12-17,00:54:45,8,85,0
19-12-17,00:55:00,8,85,0
19-12-17,00:55:15,8,85,0
19-12-17,00:55:30,8,84,0
19-12-17,00:55:45,8,84,0
19-12-17,00:56:00,8,83,0
19-12-17,00:56:15,8,83,0
19-12-17,00:56:30,8,83,-1
19-12-17,00:56:45,8,83,0
19-12-17,00:57:00,9,82,-1
19-12-17,00:57:15,9,82,-1
19-12-17,00:57:30,9,82,0
19-12-17,00:57:45,9,81,0
19-12-17,00:58:00,9,81,0
19-12-17,00:58:15,9,81,0
19-12-17,00:58:30,9,82,0
19-12-17,00:58:45,9,82,0
19-12-17,00:59:00,9,82,0
19-12-17,00:59:15,9,81,0
19-12-17,00:59:30,9,81,0
19-12-17,00:59:45,9,81,0
19-12-17,01:00:00,9,82,0
19-12-17,01:00:15,9,82,0
19-12-17,01:00:30,9,82,0
19-12-17,01:00:45,9,82,-1
19-12-17,01:01:00,9,82,0
19-12-17,01:01:15,9,82,0
19-12-17,01:01:30,9,82,0
19-12-17,01:01:45,9,82,-1
19-12-17,01:02:00,9,82,-1
19-12-17,01:02:15,9,82,0
19-12-17,01:02:30,9,82,0
19-12-17,01:02:45,9,82,0
19-12-17,01:03:00,9,82,0
19-12-17,01:03:15,9,82,0
19-12-17,01:03:30,9,82,0
19-12-17,01:03:45,9,82,0
19-12-17,01:04:00,9,82,0
19-12-17,01:04:15,9,82,0
19-12-17,01:04:30,9,82,0
19-12-17,01:04:45,9,82,0
19-12-17,01:05:00,9,82,0
19-12-17,01:05:15,9,82,0
19-12-17,01:05:30,9,82,0
19-12-17,01:05:45,9,82,0
19-12-17,01:06:00,9,82,0
19-12-17,01:06:15,9,82,0
19-12-17,01:06:30,9,82,0
19-12-17,01:06:45,9,82,0
19-12-17,01:07:00,9,82,0
19-12-17,01:07:15,9,82,0
19-12-17,01:07:30,9,82,0
19-12-17,01:07:45,9,82,0
19-12-17,01:08:00,9,83,0
19-12-17,01:08:15,9,83,0
19-12-17,01:08:30,9,83,0
19-12-17,01:08:45,9,83,0
19-12-17,01:09:00,9,83,0
19-12-17,01:09:15,9,83,0
19-12-17,01:09:30,9,83,0
19-12-17,01:09:45,9,83,0
19-12-17,01:10:00,9,83,0
19-12-17,01:10:15,9,83,0
19-12-17,01:10:30,9,83,0
19-12-17,01:10:45,9,83,0
19-12-17,01:11:00,9,83,0
19-12-17,01:11:15,9,83,0
19-12-17,01:11:30,9,83,0
19-12-17,01:11:45,9,83,0
19-12-17,01:12:00,9,83,0
19-12-17,01:12:15,9,83,0
19-12-17,01:12:30,9,83,0
19-12-17,01:12:45,9,83,0
19-12-17,01:13:00,9,83,0
19-12-17,01:13:15,9,83,0
19-12-17,01:13:30,9,83,0
19-12-17,01:13:45,9,83,0
19-12-17,01:14:00,9,83,0
19-12-17,01:14:15,9,83,0
19-12-17,01:14:30,9,83,0
19-12-17,01:14:45,9,83,0
19-12-17,01:15:00,9,83,0
19-12-17,01:15:15,9,83,0
19-12-17,01:15:30,8,83,0
19-12-17,01:15:45,8,83,0
19-12-17,01:16:00,8,83,0
19-12-17,01:16:15,8,83,0
19-12-17,01:16:30,8,84,0
19-12-17,01:16:45,8,84,0
19-12-17,01:17:00,8,84,0
19-12-17,01:17:15,8,84,0
19-12-17,01:17:30,8,84,0
19-12-17,01:17:45,8,84,0
19-12-17,01:18:00,8,84,0
19-12-17,01:18:15,8,84,0
19-12-17,01:18:30,8,84,0
19-12-17,01:18:45,8,84,0
19-12-17,01:19:00,8,84,0
19-12-17,01:19:15,8,84,0
19-12-17,01:19:30,8,84,0
19-12-17,01:19:45,8,84,0
19-12-17,01:20:00,8,84,0
19-12-17,01:20:15,8,84,0
19-12-17,01:20:30,8,84,0
19-12-17,01:20:45,8,84,0
19-12-17,01:21:00,8,84,0
19-12-17,01:21:15,8,84,0
19-12-17,01:21:30,8,84,0
19-12-17,01:21:45,8,84,0
19-12-17,01:22:00,8,84,0
19-12-17,01:22:15,8,84,0
19-12-17,01:22:30,8,85,0
19-12-17,01:22:45,8,85,0
19-12-17,01:23:00,8,85,0
19-12-17,01:23:15,8,85,0
19-12-17,01:23:30,8,85,0
19-12-17,01:23:45,8,85,0
19-12-17,01:24:00,8,85,0
19-12-17,01:24:15,8,85,0
19-12-17,01:24:30,8,85,0
19-12-17,01:24:45,8,85,0
19-12-17,01:25:00,8,85,0
19-12-17,01:25:15,8,85,0
19-12-17,01:25:30,8,85,0
19-12-17,01:25:45,8,85,0
19-12-17,01:26:00,8,85,0
19-12-17,01:26:15,8,85,0
19-12-17,01:26:30,8,85,0
19-12-17,01:26:45,8,85,0
19-12-17,01:27:00,8,85,0
19-12-17,01:27:15,8,85,0
