9.0,11.0,10.0,0.0,20,79.0,[574.4564]
9.0,11.0,10.0,1.0,20,79.0,[575.0263]
9.0,11.0,10.0,2.0,20,80.0,[574.01447]
9.0,11.0,10.0,3.0,20,82.0,[572.3259]
9.0,11.0,10.0,4.0,20,85.0,[570.80914]
9.0,11.0,10.0,5.0,20,88.0,[570.1791]
9.0,11.0,10.0,6.0,20,90.0,[570.13293]
9.0,11.0,10.0,7.0,20,90.0,[567.12384]
9.0,11.0,10.0,8.0,20,89.0,[563.9279]
9.0,11.0,10.0,9.0,20,90.0,[561.6587]
9.0,11.0,10.0,10.0,20,96.0,[560.3496]
9.0,11.0,10.0,11.0,20,107.0,[559.49744]
9.0,11.0,10.0,12.0,20,122.0,[554.5696]
9.0,11.0,10.0,13.0,20,139.0,[547.5166]
9.0,11.0,10.0,14.0,20,154.0,[540.6469]
9.0,11.0,10.0,15.0,20,164.0,[534.58624]
9.0,11.0,10.0,16.0,20,167.0,[528.9687]
9.0,11.0,10.0,17.0,20,166.0,[521.93097]
9.0,11.0,10.0,18.0,20,162.0,[514.8719]
9.0,11.0,10.0,19.0,20,156.0,[508.568]
9.0,11.0,10.0,20.0,20,149.0,[505.23462]
9.0,11.0,10.0,21.0,20,144.0,[500.5603]
9.0,11.0,10.0,22.0,20,140.0,[488.44745]
9.0,11.0,10.0,23.0,20,138.0,[467.34848]
9.0,11.0,10.0,24.0,20,139.0,[458.45273]
9.0,11.0,10.0,25.0,20,142.0,[449.03644]
9.0,11.0,10.0,26.0,20,149.0,[439.50403]
9.0,11.0,10.0,27.0,20,158.0,[431.61133]
9.0,11.0,10.0,28.0,20,160.0,[424.82224]
9.0,11.0,10.0,29.0,20,158.0,[417.8417]
9.0,11.0,10.0,30.0,20,156.0,[411.005]
9.0,11.0,10.0,31.0,20,153.0,[405.7032]
9.0,11.0,10.0,32.0,20,151.0,[386.03787]
9.0,11.0,10.0,33.0,20,151.0,[359.2974]
9.0,11.0,10.0,34.0,20,151.0,[330.5621]
9.0,11.0,10.0,35.0,20,152.0,[301.76376]
9.0,11.0,10.0,36.0,20,151.0,[276.68793]
9.0,11.0,10.0,37.0,20,153.0,[252.89313]
9.0,11.0,10.0,38.0,20,154.0,[232.34006]
9.0,11.0,10.0,39.0,20,155.0,[218.51945]
9.0,11.0,10.0,40.0,20,156.0,[212.25702]
9.0,11.0,10.0,41.0,20,153.0,[208.73825]
9.0,11.0,10.0,42.0,20,148.0,[206.28601]
9.0,11.0,10.0,43.0,20,142.0,[203.90738]
9.0,11.0,10.0,44.0,20,139.0,[202.35237]
9.0,11.0,10.0,45.0,20,139.0,[204.041]
9.0,11.0,10.0,46.0,20,140.0,[206.51732]
9.0,11.0,10.0,47.0,20,147.0,[214.15303]
9.0,11.0,10.0,48.0,20,157.0,[219.55632]
9.0,11.0,10.0,49.0,20,159.0,[227.70717]
9.0,11.0,10.0,50.0,20,153.0,[235.26994]
9.0,11.0,10.0,51.0,20,141.0,[243.14441]
9.0,11.0,10.0,52.0,20,129.0,[252.20247]
9.0,11.0,10.0,53.0,20,121.0,[262.37277]
9.0,11.0,10.0,54.0,20,116.0,[272.79944]
9.0,11.0,10.0,55.0,20,110.0,[283.4459]
9.0,11.0,10.0,56.0,20,105.0,[293.28732]
9.0,11.0,10.0,57.0,20,100.0,[294.78708]
9.0,11.0,10.0,58.0,20,95.0,[288.65326]
9.0,11.0,10.0,59.0,20,91.0,[281.17975]
9.0,11.0,11.0,0.0,20,88.0,[834.9994]
9.0,11.0,11.0,1.0,20,86.0,[817.76984]
9.0,11.0,11.0,2.0,20,89.0,[797.2398]
9.0,11.0,11.0,3.0,20,95.0,[761.4093]
9.0,11.0,11.0,4.0,20,106.0,[723.4205]
9.0,11.0,11.0,5.0,20,118.0,[686.98596]
9.0,11.0,11.0,6.0,20,126.0,[649.99725]
9.0,11.0,11.0,7.0,20,136.0,[614.1839]
9.0,11.0,11.0,8.0,20,151.0,[580.8205]
9.0,11.0,11.0,9.0,20,166.0,[550.49]
9.0,11.0,11.0,10.0,20,178.0,[548.9032]
9.0,11.0,11.0,11.0,20,183.0,[553.94214]
9.0,11.0,11.0,12.0,20,185.0,[572.4418]
9.0,11.0,11.0,13.0,20,187.0,[597.1915]
9.0,11.0,11.0,14.0,20,187.0,[624.59424]
9.0,11.0,11.0,15.0,20,182.0,[649.7253]
9.0,11.0,11.0,16.0,20,174.0,[677.0212]
9.0,11.0,11.0,17.0,20,164.0,[706.38153]
9.0,11.0,11.0,18.0,20,155.0,[722.0161]
9.0,11.0,11.0,19.0,20,150.0,[735.03925]
9.0,11.0,11.0,20.0,20,149.0,[729.79205]
9.0,11.0,11.0,21.0,20,145.0,[723.97833]
9.0,11.0,11.0,22.0,20,136.0,[711.33484]
9.0,11.0,11.0,23.0,20,129.0,[688.51544]
9.0,11.0,11.0,24.0,20,130.0,[668.72144]
9.0,11.0,11.0,25.0,20,131.0,[651.56177]
9.0,11.0,11.0,26.0,20,126.0,[632.776]
9.0,11.0,11.0,27.0,20,119.0,[612.0832]
9.0,11.0,11.0,28.0,20,116.0,[586.89886]
9.0,11.0,11.0,29.0,20,119.0,[540.8725]
9.0,11.0,11.0,30.0,20,122.0,[490.80737]
9.0,11.0,11.0,31.0,20,125.0,[455.71426]
9.0,11.0,11.0,32.0,20,129.0,[431.00885]
9.0,11.0,11.0,33.0,20,133.0,[397.29742]
9.0,11.0,11.0,34.0,20,134.0,[365.622]
9.0,11.0,11.0,35.0,20,133.0,[354.19412]
